@RELATION RegDataPo

@ATTRIBUTE Length numeric
@ATTRIBUTE OutputSize numeric
@ATTRIBUTE TotalLength numeric
@ATTRIBUTE FileSize numeric
@ATTRIBUTE PowerConsume numeric

@DATA
106,4,121,4,1.91
102,2,116,1,0.69
476,1,481,2,9.05
605,5,647,3,5.37
105,5,118,4,1.35
222,4,226,4,1.68
881,4,987,3,8.01
193,2,205,1,1.8
610,4,647,3,5.3
203,5,219,1,1.86
110,4,116,4,1.04
173,5,190,1,1.66
192,1,202,4,1.69
902,3,929,2,16.9
743,1,832,3,7.13
250,4,260,5,2.28
700,4,784,2,13.45
180,2,182,5,1.72
101,2,110,3,1.81
300,2,318,5,2.82
192,4,207,1,3.52
263,4,274,1,2.14
100,2,107,4,0.62
202,1,222,1,1.65
180,5,187,5,1.32
223,1,256,1,4.26
314,1,336,1,5.89
1328,1,1487,3,11.02
2562,1,2588,1,18.27
1918,2,2014,3,15.79
1400,2,1484,3,25.28
1609,1,1722,2,12.03
1154,5,1258,4,8.76
1601,5,1745,3,28.57
867,2,919,2,7.31
430,4,482,2,3.18
1950,4,2204,4,16.46
1049,5,1185,2,19.03
1203,2,1335,2,9.1
4035,3,4075,4,30.62
1870,3,2076,2,33.74
1050,2,1134,2,7.84
950,1,1017,2,17.71
1267,1,1305,4,9.72
1773,3,1897,1,13.45
117,1,124,2,1.93
1574,1,1605,4,13.07
565,2,576,5,4.9
124,1,140,3,2.53
1333,4,1453,3,24.54
1880,3,2012,1,35.8
585,3,655,2,10.56
2499,2,2799,3,19.79
132,3,140,3,3.29
4158,5,4200,3,32.32
2049,1,2192,4,18.37
2353,5,2612,4,17.07
101,4,107,1,0.63
1647,5,1779,4,12.87
447,1,496,1,3.79
220,4,227,5,2.07
100,4,114,4,0.82
103,1,107,5,0.84
2916,5,2974,5,22.29
101,4,110,4,0.68
1009,2,1059,4,8.29
216,1,222,5,1.65
800,5,840,3,6.68
219,4,243,5,1.86
2792,2,2932,3,50.47
556,4,562,2,4.56
797,5,837,3,6.56
101,5,112,2,0.83
162,2,177,2,2.97
330,1,347,3,2.91
350,3,375,4,3.29
111,1,122,2,2.03
101,1,104,3,0.83
182,5,195,5,1.52
413,4,471,1,2.87
563,1,602,5,4.08
292,4,307,4,5.02
382,3,424,4,2.58
322,2,328,1,2.36
391,3,403,4,3.13
440,3,484,2,3.95
302,2,320,3,5.18
500,2,530,1,4.11
390,5,449,3,3.51
501,5,566,3,4.22
280,5,311,4,2.78
4240,5,4791,4,77.65
325,4,341,2,3.08
549,4,626,5,4.72
497,1,572,1,9.41
555,3,588,1,4.36
740,4,821,4,7.07
200,4,228,1,3.81
366,3,384,5,3.65
180,1,187,2,3.37
622,1,659,5,5.07
111,5,119,5,1.94
300,5,336,1,3.17
450,2,473,1,4.52
688,5,716,3,13.04
108,1,113,5,1.02
106,4,112,4,0.96
547,2,629,5,5.07
200,4,224,1,3.88
100,3,108,3,0.67
458,5,504,4,8.86
101,3,114,2,1.77
1204,5,1348,2,10.32
364,5,397,5,2.77
1150,5,1162,4,9.63
100,5,105,3,1.17
437,4,450,1,3.82
270,2,284,1,1.78
681,4,735,1,6.87
895,1,985,4,17.94
251,4,266,4,1.79
120,3,132,3,0.8
670,4,717,4,12.87
1020,1,1163,4,7.15
100,1,113,1,0.62
714,5,785,3,5.29
292,3,301,5,5.03
600,2,636,3,4.04
533,2,597,5,9.31
291,3,335,2,1.91
100,2,106,1,1.69
250,5,285,5,1.66
900,5,936,5,8.35
100,2,106,2,0.67
402,5,430,5,6.84
101,1,114,2,1.76
420,3,479,1,3.22
740,3,807,3,5.21
312,4,340,5,5.48
100,1,102,4,1.69
755,4,770,2,5.2
785,5,801,4,5.88
100,1,110,3,0.72
100,2,103,2,0.62
393,3,440,4,2.65
290,3,310,3,2.01
513,3,518,1,8.97
826,5,925,1,14.36
1147,3,1285,1,10.71
490,3,544,1,3.35
534,1,571,4,4.09
794,1,810,2,6.74
553,2,603,4,9.64
370,3,377,3,3.3
344,3,358,4,3.14
630,2,643,2,4.83
1724,2,1845,2,12.68
395,3,419,2,3.36
275,3,292,4,2.64
1065,3,1097,4,18.21
655,5,740,1,12.08
234,5,262,5,2.17
487,5,560,5,4.13
398,5,438,3,4.07
183,3,185,4,3.69
114,5,124,1,0.96
496,1,506,4,4.19
395,5,423,3,7.53
210,3,216,3,1.91
100,1,103,3,0.62
404,3,424,5,3.51
387,3,430,4,3.51
324,4,363,4,6.18
210,3,221,1,1.61
498,2,543,4,9.83
1262,3,1363,3,10.28
870,5,983,4,7.62
103,2,110,5,1.29
294,5,335,4,2.67
577,3,652,1,4.49
671,5,678,3,13.34
480,2,494,3,4.12
302,2,347,4,2.9
100,2,103,2,0.62
100,5,109,5,1.68
619,2,662,5,11.92
390,5,437,1,2.73
717,4,782,2,6.02
330,3,356,4,2.16
275,5,316,1,5.45
490,5,500,2,3.35
360,3,407,4,2.44
976,2,1113,2,7.26
412,5,416,4,7.17
684,2,780,5,11.81
533,1,592,4,3.88
854,3,922,3,5.92
271,5,287,2,4.68
322,5,332,2,2.21
292,4,315,2,5.02
100,4,102,1,1.65
130,2,142,5,2.15
950,3,960,4,6.52
1590,3,1749,5,14.98
193,2,218,2,1.4
750,3,803,3,14.19
690,4,752,4,5.24
100,3,112,5,1.37
1380,4,1504,2,9.8
100,3,106,2,0.67
750,3,833,3,13
552,4,591,2,3.84
71416,4,78558,3,1733.11
102,2,110,2,1.88
210,4,223,3,1.41
1077,1,1088,4,8.04
292,4,304,1,5.01
410,2,443,3,2.95
1070,3,1081,5,7.47
181,4,199,5,3.08
300,3,324,3,2.22
292,3,304,4,2.02
382,4,420,3,2.58
1108,5,1174,5,7.61
1590,3,1797,5,28.09
